source_id_field,oid,ccsr_code,internal_id,internal_source,cset_source,grouped_by_bids,concept_id,codeset_id,enclave_codeset_id,enclave_codeset_id_updated_at,concept_set_name
oid,2.16.840.1.113762.1.4.1029.63,,1000000001,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113762.1.4.1029.211,,1000000002,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113762.1.4.1029.213,,1000000003,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113762.1.4.1029.269,,1000000004,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113762.1.4.1029.287,,1000000005,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113762.1.4.1029.317,,1000000006,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113762.1.4.1029.323,,1000000007,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113762.1.4.1029.338,,1000000008,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113762.1.4.1029.366,,1000000009,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113762.1.4.1110.61,,1000000010,input/oids.txt,VSAC,,,,,,[VSAC] Antithrombotic Therapy_Antiplatelet
oid,2.16.840.1.113762.1.4.1110.62,,1000000011,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113883.3.117.1.7.1.200,,1000000012,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113883.3.117.1.7.1.201,,1000000013,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113883.3.117.1.7.1.202,,1000000014,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113883.3.117.1.7.1.212,,1000000015,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113883.3.117.1.7.1.255,,1000000016,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113883.3.117.1.7.1.258,,1000000017,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113883.3.117.1.7.1.259,,1000000018,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113883.3.117.1.7.1.260,,1000000019,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113883.3.117.1.7.1.261,,1000000020,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113762.1.4.1029.216,,1000000021,input/oids.txt,VSAC,,,,,,[VSAC] Acute Renal Failure
oid,2.16.840.1.113762.1.4.1110.53,,1000000022,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113762.1.4.1029.223,,1000000023,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113762.1.4.1029.224,,1000000024,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113762.1.4.1029.214,,1000000025,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113762.1.4.1029.215,,1000000026,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113762.1.4.1029.233,,1000000027,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113762.1.4.1029.234,,1000000028,input/oids.txt,VSAC,,,,,,[VSAC] Acute Heart Failure
oid,2.16.840.1.113762.1.4.1029.243,,1000000029,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113762.1.4.1029.244,,1000000030,input/oids.txt,VSAC,,,,,,[VSAC] Air and Thrombotic Embolism
oid,2.16.840.1.113762.1.4.1029.309,,1000000031,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113762.1.4.1029.310,,1000000032,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113762.1.4.1029.225,,1000000033,input/oids.txt,VSAC,,,,,,
oid,2.16.840.1.113762.1.4.1029.226,,1000000034,input/oids.txt,VSAC,,,,,,[VSAC] Eclampsia
oid,2.16.840.1.113762.1.4.1196.475,,1000000035,https://docs.google.com/spreadsheets/d/1jzGrVELQz5L4B_-DqPflPIcpBaTfJOUTrVJT5nS_j18/edit#gid=1335629675,VSAC,,,,,,
oid,2.16.840.1.113762.1.4.1219.2,,1000000036,https://docs.google.com/spreadsheets/d/1jzGrVELQz5L4B_-DqPflPIcpBaTfJOUTrVJT5nS_j18/edit#gid=1335629675,VSAC,,,,,,
oid,2.16.840.1.113762.1.4.1219.1,,1000000037,https://docs.google.com/spreadsheets/d/1jzGrVELQz5L4B_-DqPflPIcpBaTfJOUTrVJT5nS_j18/edit#gid=1335629675,VSAC,,,,,,
oid,2.16.840.1.113883.3.464.1003.102.12.1025,,1000000038,https://docs.google.com/spreadsheets/d/1jzGrVELQz5L4B_-DqPflPIcpBaTfJOUTrVJT5nS_j18/edit#gid=1335629675,VSAC,,,,,,
oid,2.16.840.1.113883.3.526.3.1010,,1000000039,https://docs.google.com/spreadsheets/d/1jzGrVELQz5L4B_-DqPflPIcpBaTfJOUTrVJT5nS_j18/edit#gid=1335629675,VSAC,,,,,,
oid,2.16.840.1.113883.3.3616.200.110.102.3213,,1000000040,https://docs.google.com/spreadsheets/d/1jzGrVELQz5L4B_-DqPflPIcpBaTfJOUTrVJT5nS_j18/edit#gid=1335629675,VSAC,,,1000000040.0,218195822.0,2022-03-18T19:52:44.726Z,[VSAC] Cerebrovascular Diseases
oid,2.16.840.1.113762.1.4.1222.159,,1000000041,https://docs.google.com/spreadsheets/d/1jzGrVELQz5L4B_-DqPflPIcpBaTfJOUTrVJT5nS_j18/edit#gid=1335629675,VSAC,,,,,,
